Scene1,Scene2,ParamSet,#Matches,#Inliers_H,#Inliers_F,InlierRatio_H,InlierRatio_F,ReprojError_H,meanSampson
1,2,1,1148,483,575,0.4207,0.5009,0.5093,1736.3424
1,2,2,799,370,400,0.4631,0.5006,0.5342,2188.3469
1,2,3,622,240,311,0.3859,0.5000,0.4815,3336.0164
1,2,4,1257,526,630,0.4185,0.5012,0.5781,1488.8943
2,3,1,1361,656,681,0.4820,0.5004,0.5077,2329.7422
2,3,2,995,490,498,0.4925,0.5005,0.4298,136.8997
2,3,3,815,382,408,0.4687,0.5006,0.5370,5474.4927
2,3,4,1438,679,719,0.4722,0.5000,0.4957,1596.7352
3,4,1,1276,655,638,0.5133,0.5000,0.5416,1884.5945
3,4,2,929,452,465,0.4865,0.5005,0.4369,102.0994
3,4,3,752,400,376,0.5319,0.5000,0.5322,2881.4365
3,4,4,1365,662,683,0.4850,0.5004,0.5125,655.3492
