Scene1,Scene2,ParamSet,#Matches,#Inliers_H,#Inliers_F,InlierRatio_H,InlierRatio_F,ReprojError_H,meanSampson
1,2,1,384,158,192,0.4115,0.5000,0.7024,2852.3123
1,2,2,268,127,134,0.4739,0.5000,0.6434,6326.5947
1,2,3,212,53,106,0.2500,0.5000,0.5576,14944.1182
1,2,4,454,164,227,0.3612,0.5000,0.7092,2128.5664
2,3,1,515,182,258,0.3534,0.5010,0.6963,4815.5239
2,3,2,379,183,190,0.4828,0.5013,0.5824,2223.0693
2,3,3,321,125,161,0.3894,0.5016,0.7725,9672.2188
2,3,4,571,210,287,0.3678,0.5026,0.6877,3112.9702
3,4,1,459,211,230,0.4597,0.5011,0.6399,3138.3540
3,4,2,349,171,176,0.4900,0.5043,0.6506,1547.6096
3,4,3,286,128,143,0.4476,0.5000,0.6499,5016.6011
3,4,4,540,230,271,0.4259,0.5019,0.6757,2985.3560
